Scrip,Sector,Segment,Market Cap (Cr),LCP,Return %,Sharpe Return,Volar,Retracement %,RSI
AJANTPHARM,Pharma,Midcap 150 Index,37906.00,3034.10,,,6.93%,0.25%,53.02%
APARINDS,Electric Equipments,Midcap 150 Index,42367.00,10547.50,,,33.89%,4.80%,53.92%
APLAPOLLO,Metals - Steel - Iron Products,Midcap 150 Index,61746.00,2224.00,,,55.92%,3.36%,55.69%
ASHOKLEY,Auto,Midcap 150 Index,124787.00,212.46,,,67.99%,1.37%,59.54%
ASTRAL,Plastic,Midcap 150 Index,45259.00,1684.80,,,17.10%,0.17%,51.10%
AUROPHARMA,Pharma,Midcap 150 Index,72129.00,1241.90,,,7.05%,2.87%,51.48%
BANKINDIA,Banks,Midcap 150 Index,80045.00,175.82,,,57.70%,1.35%,55.88%
BHARATFORG,Forgings,Midcap 150 Index,90593.00,1894.90,,,51.20%,0.77%,56.73%
BIOCON,Pharma,Midcap 150 Index,53458.00,399.85,,,14.32%,5.91%,52.08%
CUMMINSIND,Engg - Industrial Equipments,Midcap 150 Index,136897.00,4938.60,,,66.34%,0.66%,56.51%
ENDURANCE,Auto Ancillary,Midcap 150 Index,37880.00,2693.00,,,28.25%,12.56%,52.00%
FEDERALBNK,Banks,Midcap 150 Index,73954.00,300.70,,,63.44%,0.33%,58.55%
FORTIS,Hospital - Healthcare Services,Midcap 150 Index,72321.00,957.95,,,42.62%,13.25%,54.73%
GLENMARK,Pharma,Midcap 150 Index,59894.00,2122.40,,,42.29%,7.11%,55.07%
GMRAIRPORT,Travel,Midcap 150 Index,108103.00,102.38,,,36.57%,7.23%,52.98%
GVT&D,Electric Equipments,Midcap 150 Index,99525.00,3887.00,,,87.68%,0.04%,57.91%
ICICIPRULI,Insurance,Midcap 150 Index,97664.00,675.05,,,16.93%,4.49%,51.72%
IDBI,Banks,Midcap 150 Index,122824.00,114.23,,,33.11%,3.51%,53.38%
INDIANB,Banks,Midcap 150 Index,132742.00,985.50,,,68.94%,1.25%,57.71%
INDUSINDBK,Banks,Midcap 150 Index,74514.00,956.45,,,-5.29%,4.70%,49.52%
IPCALAB,Pharma,Midcap 150 Index,39019.00,1538.00,,,3.20%,3.57%,51.94%
KEI,Cable,Midcap 150 Index,47742.00,4994.00,,,25.89%,0.19%,54.32%
LINDEINDIA,Chemicals,Midcap 150 Index,57438.00,6735.00,,,12.12%,14.42%,51.10%
LUPIN,Pharma,Midcap 150 Index,106086.00,2322.60,,,15.84%,0.39%,54.15%
MAHABANK,Banks,Midcap 150 Index,57302.00,74.50,,,37.12%,1.52%,54.87%
MARICO,Food,Midcap 150 Index,104471.00,804.90,,,29.68%,1.06%,54.06%
MFSL,Finance - Investment - Management,Midcap 150 Index,64232.00,1861.20,,,70.31%,1.65%,56.38%
PETRONET,Chemicals,Midcap 150 Index,47302.00,315.35,,,7.21%,1.30%,51.82%
POLYCAB,Cable,Midcap 150 Index,126785.00,8422.50,,,36.57%,0.67%,54.48%
POWERINDIA,Electric Equipments,Midcap 150 Index,112612.00,25265.00,,,61.76%,0.41%,56.04%
SAIL,Metals - Steel - Iron Products,Midcap 150 Index,68199.00,165.11,,,36.92%,1.25%,53.59%
SCHAEFFLER,Bearings,Midcap 150 Index,67563.00,4322.60,,,29.95%,1.74%,52.57%
SONACOMS,Auto Ancillary,Midcap 150 Index,33597.00,540.40,,,3.98%,3.41%,50.49%
SUPREMEIND,Plastic,Midcap 150 Index,51458.00,4051.00,,,6.44%,14.52%,50.22%
TORNTPOWER,Power,Midcap 150 Index,79138.00,1570.50,,,17.93%,4.24%,52.46%
UNIONBANK,Banks,Midcap 150 Index,153000.00,200.43,,,57.35%,1.36%,56.44%
VOLTAS,Consumer Durables,Midcap 150 Index,51115.00,1544.80,,,15.33%,1.38%,52.01%